loan_amount,income,interest_rate,loan_term,dti_numeric,loan_type_2,loan_type_3,loan_type_4,loan_purpose_2,loan_purpose_31,loan_purpose_32,loan_purpose_4,loan_purpose_5,occupancy_type_2,occupancy_type_3,race,sex,age_group
0.2765467948966328,-0.27960703273779475,-0.9965255295862094,0.4010883165798516,1.2128764673653272,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White,Female,young
0.9191842245192734,0.6239955436325718,-0.5093972460074728,-2.1435591682361927,-0.5604895459603174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asian,Female,mid
0.8120779862488333,-0.13475471133491154,-0.022268962428736338,0.4010883165798516,1.2128764673653272,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Black,Female,mid
-1.0622811834838681,0.1273590131084009,0.34794853309110313,0.4010883165798516,-0.15745181565903452,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,White,Male,mid
-0.20543127732034755,0.10666582433656044,0.6597106345814948,0.4010883165798516,0.4068010067627615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,White,Male,mid
-0.9016218260782081,-0.49343665004681275,-0.022268962428736338,-2.1435591682361927,-0.5604895459603174,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,White,Male,senior
-0.09832503904990747,-0.038186497066322746,-0.022268962428736338,0.4010883165798516,-1.20534991444237,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,White,Male,senior
-0.4196437538612277,-0.40376616536883747,-0.022268962428736338,0.4010883165798516,-0.3186669077795477,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Black,Female,mid
1.2940560584658136,0.04458625802103908,1.4391158883074733,0.4010883165798516,0.4874085528230181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asian,Male,young
-0.47319687299644775,-0.4727434612749723,0.46485932115000017,0.4010883165798516,1.2128764673653272,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White,Male,senior
0.1158874374909727,0.38257500796109983,-0.022268962428736338,0.4010883165798516,-0.5604895459603174,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,White,Male,mid
0.1158874374909727,-0.10026606338184411,-0.11969461914448365,0.4010883165798516,-0.3186669077795477,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,White,Male,senior
-0.4196437538612277,-0.1899365480598194,-1.0939511863019566,-0.8005507734721693,0.003763276461478622,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,White,Female,mid
0.490759271437513,0.11356355392717393,-0.9965255295862094,0.4010883165798516,-1.20534991444237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asian,Male,young
0.00878119922053262,-0.25891384396595424,-0.8016742161547148,0.4010883165798516,1.2128764673653272,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Black,Female,mid
-0.2589843964555676,-0.30719795110024867,2.2185211420334516,0.4010883165798516,0.4874085528230181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asian,Female,senior
-0.5267499921316678,-0.1899365480598194,-0.022268962428736338,0.4010883165798516,0.003763276461478622,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Black,Female,mid
-0.740962468672548,-0.39686843577822395,-0.022268962428736338,-0.44712751169216314,-1.20534991444237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Black,Male,mid
-0.9016218260782081,0.23082495696760316,-0.022268962428736338,-3.839990824780222,1.2128764673653272,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Black,Male,mid
-0.09832503904990747,0.5274273293639831,2.608223768896441,0.4010883165798516,0.0843708225217352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,White,Female,mid
-1.1158343026190882,-0.5900048643154016,0.07515669428701097,-2.1435591682361927,-0.5604895459603174,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,White,Female,senior
0.597865509707953,-0.155447900106752,-0.022268962428736338,0.4010883165798516,1.2128764673653272,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Black,Male,mid
-1.0622811834838681,-0.03128876747570926,4.10468185605032,-2.1435591682361927,-1.20534991444237,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,White,Male,mid
0.3300999140318529,0.2170294977863762,0.3674336644342529,0.4010883165798516,0.003763276461478622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White,Female,mid
0.490759271437513,-0.18303881846920592,0.46485932115000017,0.4010883165798516,0.32619346070250493,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White,Male,mid
-0.5803031112668878,-0.07957287461000365,3.582480336053914,-1.2953433399641778,-0.3186669077795477,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Black,Female,young
-0.6874093495373279,0.1687453906520818,-1.483653813164946,-1.2953433399641778,-2.0114253750449356,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,White,Female,mid
0.1158874374909727,-0.18303881846920592,-1.2888024997334513,0.4010883165798516,0.4874085528230181,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Black,Female,senior
0.7049717479783931,-0.038186497066322746,-1.483653813164946,0.4010883165798516,0.003763276461478622,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Black,Female,senior
-0.5803031112668878,-0.27960703273779475,-0.022268962428736338,-1.2953433399641778,0.6486236449435312,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Black,Female,mid
-0.9551749452134282,0.01699533965858514,1.2442645748759786,-1.2953433399641778,-0.2380593617192911,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,White,Female,mid
